Date,Day,Month,Year,Customer_Age,Age_Group,Customer_Gender,Country,State,Product_Category,Sub_Category,Product,Order_Quantity,Unit_Cost,Unit_Price,Profit,Cost,Revenue
3/12/2014,12,March,2014,54,Adults (35-64),Female,Australia,Queensland,Accessories,Bike Racks,Hitch Rack - 4-Bike,7,45,120,391,315,706
3/12/2016,12,March,2016,54,Adults (35-64),Female,Australia,Queensland,Accessories,Bike Racks,Hitch Rack - 4-Bike,6,45,120,335,270,605
9/3/2013,3,September,2013,51,Adults (35-64),Female,United States,Washington,Accessories,Bike Racks,Hitch Rack - 4-Bike,7,45,120,340,315,655
9/3/2015,3,September,2015,51,Adults (35-64),Female,United States,Washington,Accessories,Bike Racks,Hitch Rack - 4-Bike,9,45,120,437,405,842
3/26/2014,26,March,2014,47,Adults (35-64),Female,United States,California,Accessories,Bike Racks,Hitch Rack - 4-Bike,6,45,120,436,270,706
3/26/2016,26,March,2016,47,Adults (35-64),Female,United States,California,Accessories,Bike Racks,Hitch Rack - 4-Bike,4,45,120,290,180,470
5/4/2014,4,May,2014,47,Adults (35-64),Female,United States,California,Accessories,Bike Racks,Hitch Rack - 4-Bike,17,45,120,1234,765,1999
5/4/2016,4,May,2016,47,Adults (35-64),Female,United States,California,Accessories,Bike Racks,Hitch Rack - 4-Bike,16,45,120,1162,720,1882
2/4/2014,4,February,2014,46,Adults (35-64),Male,United States,Washington,Accessories,Bike Racks,Hitch Rack - 4-Bike,1,45,120,49,45,94
2/4/2016,4,February,2016,46,Adults (35-64),Male,United States,Washington,Accessories,Bike Racks,Hitch Rack - 4-Bike,3,45,120,146,135,281
11/6/2013,6,November,2013,46,Adults (35-64),Male,United States,California,Accessories,Bike Racks,Hitch Rack - 4-Bike,5,45,120,363,225,588
11/6/2015,6,November,2015,46,Adults (35-64),Male,United States,California,Accessories,Bike Racks,Hitch Rack - 4-Bike,4,45,120,290,180,470
2/12/2014,12,February,2014,46,Adults (35-64),Male,United States,California,Accessories,Bike Racks,Hitch Rack - 4-Bike,30,45,120,2178,1350,3528
2/12/2016,12,February,2016,46,Adults (35-64),Male,United States,California,Accessories,Bike Racks,Hitch Rack - 4-Bike,27,45,120,1960,1215,3175
5/17/2014,17,May,2014,46,Adults (35-64),Male,United States,California,Accessories,Bike Racks,Hitch Rack - 4-Bike,5,45,120,363,225,588
5/17/2016,17,May,2016,46,Adults (35-64),Male,United States,California,Accessories,Bike Racks,Hitch Rack - 4-Bike,2,45,120,145,90,235
9/23/2013,23,September,2013,41,Adults (35-64),Female,Germany,Hessen,Accessories,Bike Racks,Hitch Rack - 4-Bike,28,45,120,1865,1260,3125
9/23/2015,23,September,2015,41,Adults (35-64),Female,Germany,Hessen,Accessories,Bike Racks,Hitch Rack - 4-Bike,29,45,120,1931,1305,3236
9/20/2013,20,September,2013,32,Young Adults (25-34),Male,United States,Washington,Accessories,Bike Racks,Hitch Rack - 4-Bike,3,45,120,146,135,281
9/20/2015,20,September,2015,32,Young Adults (25-34),Male,United States,Washington,Accessories,Bike Racks,Hitch Rack - 4-Bike,1,45,120,49,45,94
10/25/2013,25,October,2013,32,Young Adults (25-34),Male,United States,California,Accessories,Bike Racks,Hitch Rack - 4-Bike,8,45,120,581,360,941
10/25/2015,25,October,2015,32,Young Adults (25-34),Male,United States,California,Accessories,Bike Racks,Hitch Rack - 4-Bike,9,45,120,653,405,1058
5/11/2014,11,May,2014,32,Young Adults (25-34),Male,United States,California,Accessories,Bike Racks,Hitch Rack - 4-Bike,26,45,120,1888,1170,3058
5/11/2016,11,May,2016,32,Young Adults (25-34),Male,United States,California,Accessories,Bike Racks,Hitch Rack - 4-Bike,27,45,120,1960,1215,3175
9/29/2013,29,September,2013,33,Young Adults (25-34),Female,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,5,45,120,369,225,594
9/29/2015,29,September,2015,33,Young Adults (25-34),Female,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,3,45,120,221,135,356
5/16/2014,16,May,2014,33,Young Adults (25-34),Female,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,15,45,120,1107,675,1782
5/16/2016,16,May,2016,33,Young Adults (25-34),Female,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,15,45,120,1107,675,1782
5/23/2014,23,May,2014,42,Adults (35-64),Male,United States,California,Accessories,Bike Racks,Hitch Rack - 4-Bike,1,45,120,73,45,118
5/23/2016,23,May,2016,42,Adults (35-64),Male,United States,California,Accessories,Bike Racks,Hitch Rack - 4-Bike,3,45,120,218,135,353
8/6/2013,6,August,2013,42,Adults (35-64),Male,United States,Oregon,Accessories,Bike Racks,Hitch Rack - 4-Bike,17,45,120,989,765,1754
8/6/2015,6,August,2015,42,Adults (35-64),Male,United States,Oregon,Accessories,Bike Racks,Hitch Rack - 4-Bike,16,45,120,931,720,1651
10/14/2013,14,October,2013,43,Adults (35-64),Female,United States,Washington,Accessories,Bike Racks,Hitch Rack - 4-Bike,10,45,120,486,450,936
10/14/2015,14,October,2015,43,Adults (35-64),Female,United States,Washington,Accessories,Bike Racks,Hitch Rack - 4-Bike,10,45,120,486,450,936
12/6/2013,6,December,2013,43,Adults (35-64),Female,United States,Washington,Accessories,Bike Racks,Hitch Rack - 4-Bike,10,45,120,486,450,936
12/6/2015,6,December,2015,43,Adults (35-64),Female,United States,Washington,Accessories,Bike Racks,Hitch Rack - 4-Bike,9,45,120,437,405,842
12/18/2013,18,December,2013,45,Adults (35-64),Female,United States,Washington,Accessories,Bike Racks,Hitch Rack - 4-Bike,3,45,120,146,135,281
12/18/2015,18,December,2015,45,Adults (35-64),Female,United States,Washington,Accessories,Bike Racks,Hitch Rack - 4-Bike,2,45,120,97,90,187
9/13/2013,13,September,2013,53,Adults (35-64),Male,United Kingdom,England,Accessories,Bike Racks,Hitch Rack - 4-Bike,4,45,120,281,180,461
9/13/2015,13,September,2015,53,Adults (35-64),Male,United Kingdom,England,Accessories,Bike Racks,Hitch Rack - 4-Bike,2,45,120,140,90,230
10/27/2013,27,October,2013,21,Youth (<25),Female,Australia,Victoria,Accessories,Bike Racks,Hitch Rack - 4-Bike,3,45,120,149,135,284
10/27/2015,27,October,2015,21,Youth (<25),Female,Australia,Victoria,Accessories,Bike Racks,Hitch Rack - 4-Bike,1,45,120,50,45,95
1/2/2014,2,January,2014,34,Young Adults (25-34),Female,Australia,New South Wales,Accessories,Bike Racks,Hitch Rack - 4-Bike,5,45,120,297,225,522
1/2/2016,2,January,2016,34,Young Adults (25-34),Female,Australia,New South Wales,Accessories,Bike Racks,Hitch Rack - 4-Bike,3,45,120,178,135,313
5/10/2014,10,May,2014,22,Youth (<25),Female,United States,California,Accessories,Bike Racks,Hitch Rack - 4-Bike,1,45,120,73,45,118
5/10/2016,10,May,2016,22,Youth (<25),Female,United States,California,Accessories,Bike Racks,Hitch Rack - 4-Bike,1,45,120,73,45,118
4/27/2014,27,April,2014,67,Seniors (64+),Female,United States,California,Accessories,Bike Racks,Hitch Rack - 4-Bike,2,45,120,145,90,235
4/27/2016,27,April,2016,67,Seniors (64+),Female,United States,California,Accessories,Bike Racks,Hitch Rack - 4-Bike,1,45,120,73,45,118
12/22/2013,22,December,2013,31,Young Adults (25-34),Male,United States,Washington,Accessories,Bike Racks,Hitch Rack - 4-Bike,3,45,120,146,135,281
12/22/2015,22,December,2015,31,Young Adults (25-34),Male,United States,Washington,Accessories,Bike Racks,Hitch Rack - 4-Bike,5,45,120,243,225,468
11/28/2013,28,November,2013,31,Young Adults (25-34),Male,United States,Oregon,Accessories,Bike Racks,Hitch Rack - 4-Bike,12,45,120,698,540,1238
11/28/2015,28,November,2015,31,Young Adults (25-34),Male,United States,Oregon,Accessories,Bike Racks,Hitch Rack - 4-Bike,12,45,120,698,540,1238
7/28/2014,28,July,2014,37,Adults (35-64),Male,France,Nord,Accessories,Bike Racks,Hitch Rack - 4-Bike,4,45,120,238,180,418
7/28/2016,28,July,2016,37,Adults (35-64),Male,France,Nord,Accessories,Bike Racks,Hitch Rack - 4-Bike,3,45,120,178,135,313
4/13/2014,13,April,2014,26,Young Adults (25-34),Male,Australia,Queensland,Accessories,Bike Racks,Hitch Rack - 4-Bike,5,45,120,279,225,504
4/13/2016,13,April,2016,26,Young Adults (25-34),Male,Australia,Queensland,Accessories,Bike Racks,Hitch Rack - 4-Bike,7,45,120,391,315,706
2/19/2014,19,February,2014,87,Seniors (64+),Female,Germany,Saarland,Accessories,Bike Racks,Hitch Rack - 4-Bike,2,45,120,107,90,197
2/19/2016,19,February,2016,87,Seniors (64+),Female,Germany,Saarland,Accessories,Bike Racks,Hitch Rack - 4-Bike,3,45,120,160,135,295
12/9/2013,9,December,2013,25,Young Adults (25-34),Female,Germany,Nordrhein-Westfalen,Accessories,Bike Racks,Hitch Rack - 4-Bike,2,45,120,119,90,209
12/9/2015,9,December,2015,25,Young Adults (25-34),Female,Germany,Nordrhein-Westfalen,Accessories,Bike Racks,Hitch Rack - 4-Bike,3,45,120,178,135,313
5/17/2014,17,May,2014,31,Young Adults (25-34),Female,Germany,Hamburg,Accessories,Bike Racks,Hitch Rack - 4-Bike,3,45,120,200,135,335
5/17/2016,17,May,2016,31,Young Adults (25-34),Female,Germany,Hamburg,Accessories,Bike Racks,Hitch Rack - 4-Bike,2,45,120,133,90,223
6/6/2014,6,June,2014,32,Young Adults (25-34),Female,France,Loir et Cher,Accessories,Bike Racks,Hitch Rack - 4-Bike,5,45,120,309,225,534
6/6/2016,6,June,2016,32,Young Adults (25-34),Female,France,Loir et Cher,Accessories,Bike Racks,Hitch Rack - 4-Bike,7,45,120,433,315,748
8/18/2013,18,August,2013,25,Young Adults (25-34),Male,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,2,45,120,148,90,238
8/18/2015,18,August,2015,25,Young Adults (25-34),Male,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,3,45,120,221,135,356
9/20/2013,20,September,2013,26,Young Adults (25-34),Female,United States,Washington,Accessories,Bike Racks,Hitch Rack - 4-Bike,10,45,120,486,450,936
9/20/2015,20,September,2015,26,Young Adults (25-34),Female,United States,Washington,Accessories,Bike Racks,Hitch Rack - 4-Bike,9,45,120,437,405,842
12/29/2013,29,December,2013,26,Young Adults (25-34),Female,United States,Washington,Accessories,Bike Racks,Hitch Rack - 4-Bike,5,45,120,243,225,468
12/29/2015,29,December,2015,26,Young Adults (25-34),Female,United States,Washington,Accessories,Bike Racks,Hitch Rack - 4-Bike,2,45,120,97,90,187
3/30/2014,30,March,2014,33,Young Adults (25-34),Male,Australia,Queensland,Accessories,Bike Racks,Hitch Rack - 4-Bike,8,45,120,446,360,806
3/30/2016,30,March,2016,33,Young Adults (25-34),Male,Australia,Queensland,Accessories,Bike Racks,Hitch Rack - 4-Bike,8,45,120,446,360,806
11/9/2013,9,November,2013,29,Young Adults (25-34),Female,United States,Oregon,Accessories,Bike Racks,Hitch Rack - 4-Bike,7,45,120,407,315,722
11/9/2015,9,November,2015,29,Young Adults (25-34),Female,United States,Oregon,Accessories,Bike Racks,Hitch Rack - 4-Bike,8,45,120,466,360,826
12/31/2013,31,December,2013,24,Youth (<25),Female,United States,Oregon,Accessories,Bike Racks,Hitch Rack - 4-Bike,5,45,120,291,225,516
12/31/2015,31,December,2015,24,Youth (<25),Female,United States,Oregon,Accessories,Bike Racks,Hitch Rack - 4-Bike,7,45,120,407,315,722
8/30/2013,30,August,2013,31,Young Adults (25-34),Male,United States,California,Accessories,Bike Racks,Hitch Rack - 4-Bike,7,45,120,508,315,823
8/30/2015,30,August,2015,31,Young Adults (25-34),Male,United States,California,Accessories,Bike Racks,Hitch Rack - 4-Bike,6,45,120,436,270,706
11/4/2013,4,November,2013,40,Adults (35-64),Male,United States,Kentucky,Accessories,Bike Racks,Hitch Rack - 4-Bike,1,45,120,63,45,108
11/4/2015,4,November,2015,40,Adults (35-64),Male,United States,Kentucky,Accessories,Bike Racks,Hitch Rack - 4-Bike,1,45,120,63,45,108
1/31/2014,31,January,2014,44,Adults (35-64),Male,Australia,New South Wales,Accessories,Bike Racks,Hitch Rack - 4-Bike,10,45,120,594,450,1044
1/31/2016,31,January,2016,44,Adults (35-64),Male,Australia,New South Wales,Accessories,Bike Racks,Hitch Rack - 4-Bike,12,45,120,713,540,1253
5/28/2014,28,May,2014,44,Adults (35-64),Male,Australia,New South Wales,Accessories,Bike Racks,Hitch Rack - 4-Bike,4,45,120,238,180,418
5/28/2016,28,May,2016,44,Adults (35-64),Male,Australia,New South Wales,Accessories,Bike Racks,Hitch Rack - 4-Bike,6,45,120,356,270,626
9/7/2013,7,September,2013,21,Youth (<25),Female,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,2,45,120,148,90,238
9/7/2015,7,September,2015,21,Youth (<25),Female,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,1,45,120,74,45,119
4/17/2014,17,April,2014,25,Young Adults (25-34),Male,United States,Oregon,Accessories,Bike Racks,Hitch Rack - 4-Bike,6,45,120,349,270,619
4/17/2016,17,April,2016,25,Young Adults (25-34),Male,United States,Oregon,Accessories,Bike Racks,Hitch Rack - 4-Bike,7,45,120,407,315,722
9/29/2013,29,September,2013,25,Young Adults (25-34),Male,United States,California,Accessories,Bike Racks,Hitch Rack - 4-Bike,9,45,120,653,405,1058
9/29/2015,29,September,2015,25,Young Adults (25-34),Male,United States,California,Accessories,Bike Racks,Hitch Rack - 4-Bike,9,45,120,653,405,1058
7/31/2013,31,July,2013,29,Young Adults (25-34),Female,United States,California,Accessories,Bike Racks,Hitch Rack - 4-Bike,25,45,120,1815,1125,2940
7/31/2015,31,July,2015,29,Young Adults (25-34),Female,United States,California,Accessories,Bike Racks,Hitch Rack - 4-Bike,22,45,120,1597,990,2587
8/3/2013,3,August,2013,29,Young Adults (25-34),Female,United States,California,Accessories,Bike Racks,Hitch Rack - 4-Bike,11,45,120,799,495,1294
8/3/2015,3,August,2015,29,Young Adults (25-34),Female,United States,California,Accessories,Bike Racks,Hitch Rack - 4-Bike,11,45,120,799,495,1294
2/27/2014,27,February,2014,55,Adults (35-64),Female,United States,Washington,Accessories,Bike Racks,Hitch Rack - 4-Bike,2,45,120,97,90,187
2/27/2016,27,February,2016,55,Adults (35-64),Female,United States,Washington,Accessories,Bike Racks,Hitch Rack - 4-Bike,1,45,120,49,45,94
9/13/2013,13,September,2013,55,Adults (35-64),Male,United States,Washington,Accessories,Bike Racks,Hitch Rack - 4-Bike,4,45,120,194,180,374
9/13/2015,13,September,2015,55,Adults (35-64),Male,United States,Washington,Accessories,Bike Racks,Hitch Rack - 4-Bike,6,45,120,292,270,562
6/8/2014,8,June,2014,55,Adults (35-64),Male,United States,Washington,Accessories,Bike Racks,Hitch Rack - 4-Bike,9,45,120,437,405,842
6/8/2016,8,June,2016,55,Adults (35-64),Male,United States,Washington,Accessories,Bike Racks,Hitch Rack - 4-Bike,6,45,120,292,270,562
6/5/2014,5,June,2014,55,Adults (35-64),Male,United States,Oregon,Accessories,Bike Racks,Hitch Rack - 4-Bike,15,45,120,873,675,1548
6/5/2016,5,June,2016,55,Adults (35-64),Male,United States,Oregon,Accessories,Bike Racks,Hitch Rack - 4-Bike,15,45,120,873,675,1548
12/15/2013,15,December,2013,53,Adults (35-64),Female,United States,California,Accessories,Bike Racks,Hitch Rack - 4-Bike,7,45,120,508,315,823
12/15/2015,15,December,2015,53,Adults (35-64),Female,United States,California,Accessories,Bike Racks,Hitch Rack - 4-Bike,8,45,120,581,360,941
1/17/2014,17,January,2014,53,Adults (35-64),Female,United States,California,Accessories,Bike Racks,Hitch Rack - 4-Bike,30,45,120,2178,1350,3528
